,Brand,CPU,Graphics,RAM,Display,Storage,Battery,Camera,Weight,Price,Type
31,Dell,"



12th Gen Intel® Core™ i5-12500H (18 MB cache, 12 cores, 16 threads, up to 4.50 GHz Turbo)



",NVIDIA® GeForce RTX™ 3050ti  4GB GDDR6,"

16 GB, 2 x 8 GB, DDR5, 4800 MHz

","



15.6"", FHD 1920x1080, 120Hz, Non-Touch, AG, WVA, LED-Backlit, 250 nit, Narrow Border



","

512GB M.2 PCIe NVMe Solid State Drive

","




3 Cell, 56 Wh, integrated




","

HD RGB camera with digital-array microphones in camera assembly

",2.57 kg,145000,Normal
32,Dell,"



AMD Ryzen™ 7 5800H 8-core/16-thread Mobile Processor



",NVIDIA® GeForce RTX™ 3050ti  4GB GDDR6,"

8GB, 1x8GB, DDR4, 3200MHz

","



15.6-inch FHD (1920 x 1080) 120Hz 300 nits WVA Anti- Glare LED Backlit Narrow Border Display



","

512GB M.2 PCIe NVMe Solid State Drive

","




6-Cell Battery, 86WHr (Integrated)




","

HD RGB camera with digital-array microphones in camera assembly

",2.57 kg,155000,Normal
33,Dell,"

10th Generation Intel Core i7-10870H (16MB Cache, up to 5.0 GHz, 8 cores)

",NVIDIA GeForce RTX 3060 6GB GDDR6,"16GB, DDR4, 2933MHz; up to 32GB (additional memory sold separately)","

15.6-inch IPS display; 165Hz refresh rate; Full-HD (1920 x 1080 pixels) resolution; 300 nits brightness; Anti- Glare panel; LED-Backlit display with Narrow Bezels

",512GB SSD,"

6-Cell Battery, 86WHr (Integrated)

","

HD RGB camera with digital-array microphones in camera assembly

",2.44 kg,159000,Normal
34,Dell,"10th Gen Intel Core i7-10870H Processor, 2.2 GHz (16MB Cache, up to 5.0 GHz, 8 Cores, 16 Threads)","NVIDIA GeForce RTX 2060, 6GB GDDR6","16GB, DDR4, 3200MHz","15.6 inch FHD(1920x1080) 300nits WVA Anti-Glare LED Backlit Display(non-touch), 300Hz refresh rate",1TB SSD,"4-Cell Battery, 68 Whr (Integrated)",720p,2.39 kg,160000,Normal
35,Dell,"10th Gen Intel Core i7-10750H Hexa Core Processor (12M Cache, up to 5.0 GHz)","NVIDIA GeForce RTX 2060, 6GB GDDR6","16GB, DDR4, 3200MHz",15.6-inch IPS display; Full-HD (1920 x 1080 pixels) resolution; 300nits brightness; 144Hz refresh rate,512Gb SSD,"4-Cell Battery, 68 Whr (Integrated)",720p,2.39 kg,170000,Normal
36,Dell,"



AMD Ryzen™ 7 5800H 8-core/16-thread Mobile Processor



",NVIDIA® GeForce RTX™ 3060  6GB GDDR6,"

16GB, 2x8GB, DDR4, 3200MHz

","



15.6-inch FHD (1920 x 1080) 165Hz 300 nits WVA Anti- Glare LED Backlit Narrow Border Display



","

512GB M.2 PCIe NVMe Solid State Drive

","




6-Cell Battery, 86WHr (Integrated)




","

HD RGB camera with digital-array microphones in camera assembly

",2.57 kg,175000,Normal
37,Dell,"12th Gen Intel® Core™ i7-1255U (12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo)",Nvidia MX550 2GB DDR6 Graphic card ,"16 GB, 2 x 8 GB, DDR4, 3200 MHz","
14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support
",512GB SSD,"4 Cell, 54 Wh, integrated","1080p at 30 fps, FHD camera",1.63 kg,179000,Normal
38,Dell,12th Generation Intel® Core™ i7-1255U  Processor ,NVIDIA MX570 2GB GDDR6,"16GB, onboard, LPDDR4, 3200 MHz","
14.0-inch 16:10 FHD+ (1920 x 1200) Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support
",1TB SSD,"4 Cell, 54 Wh, integrated",1080p at 30 fps FHD cameraDual-array microphones,1.54 kg (3.40 lbs.),183000,Normal
39,Dell,"

11th Generation Intel® Core™ i7-11800H (24MB Cache, up to 4.6 GHz, 8 cores)

",NVIDIA® GeForce RTX™ 3060  6GB GDDR6,"

16GB, 2x8GB, DDR4, 3200MHz

","



15.6-inch FHD (1920 x 1080) 165Hz 300 nits WVA Anti- Glare LED Backlit Narrow Border Display



","

512GB M.2 PCIe NVMe Solid State Drive

","




6-Cell Battery, 86WHr (Integrated)




","

HD RGB camera with digital-array microphones in camera assembly

",2.65 kg,185000,Normal
40,Dell,"



12th Gen Intel® Core™ i7-12700H (24 MB cache, 14 cores, 20 threads, up to 4.70 GHz Turbo)



",NVIDIA® GeForce RTX™ 3050ti  4GB GDDR6,"

16 GB, 2 x 8 GB, DDR5, 4800 MHz

","



15.6"", FHD 1920x1080, 120Hz, Non-Touch, AG, WVA, LED-Backlit, 250 nit, Narrow Border



","

512GB M.2 PCIe NVMe Solid State Drive

","




3 Cell, 56 Wh, integrated




","

HD RGB camera with digital-array microphones in camera assembly

",2.57 kg,185000,Normal
